Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
167,2013,NBA,2,34,HOU,Isaiah Canaan,22.043,G,us,Murray State University,2014,2018,205,20.3,8.4,1.9,1.8,0.6,0.1,0.369,0.399,0.351,0.839,4.2,0.048
168,2011,NBA,1,6,WAS,Jan Vesely,21.065,F,cz,,2012,2014,162,15.2,3.6,3.5,0.6,0.7,0.5,0.521,0.523,0,0.408,4,0.078
169,2014,NBA,2,40,MIN,Glenn Robinson III,20.174,G-F,us,University of Michigan,2015,2018,172,14.7,4.4,2.3,0.6,0.4,0.2,0.445,0.477,0.381,0.707,4,0.077
170,2012,NBA,1,19,ORL,Andrew Nicholson,22.208,F,ca,St. Bonaventure University,2013,2017,285,14.3,6,3,0.4,0.3,0.3,0.467,0.498,0.321,0.773,3.8,0.045
171,2012,NBA,2,45,PHI,Justin Hamilton,22.094,C,us,Louisiana State University,2014,2017,113,17.4,6.1,3.6,0.8,0.5,0.6,0.464,0.56,0.309,0.798,3.7,0.091
172,2013,NBA,2,47,ATL,Raul Neto,21.044,G,br,,2016,2018,162,14.5,4.7,1.2,1.7,0.6,0.1,0.439,0.469,0.388,0.754,3.4,0.07
173,2010,NBA,1,20,SAS,James Anderson,21.096,G-F,us,Oklahoma State University,2011,2016,247,17.5,5.8,2.3,1.2,0.5,0.2,0.411,0.495,0.321,0.755,3.3,0.037
174,2015,NBA,2,44,PHO,Andrew Harrison,20.245,G,us,University of Kentucky,2017,2018,128,21.9,7.5,2.1,2.9,0.7,0.4,0.378,0.424,0.302,0.771,3.3,0.056
175,2011,NBA,1,25,BOS,MarShon Brooks,22.153,G-F,us,Providence College,2012,2018,171,17.9,8.2,2.2,1.5,0.6,0.2,0.447,0.471,0.359,0.757,3.2,0.05
176,2011,NBA,1,26,DAL,Jordan Hamilton,20.265,G-F,us,University of Texas at Austin,2012,2016,151,13.9,5.9,2.8,0.8,0.5,0.2,0.408,0.451,0.357,0.67,3,0.069
177,2011,NBA,1,28,CHI,Norris Cole,22.258,G,us,Cleveland State University,2012,2017,360,22.3,7,2,2.7,0.8,0.1,0.407,0.436,0.324,0.743,3,0.018
178,2013,NBA,2,48,LAL,Ryan Kelly,22.085,F,us,Duke University,2014,2017,163,19.2,6,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3,0.046
179,2015,NBA,1,3,PHI,Jahlil Okafor,19.197,C-F,us,Duke University,2016,2018,131,23.5,12.9,5.3,1,0.3,1,0.515,0.517,0.2,0.682,3,0.047
180,2014,NBA,1,27,PHO,Bogdan Bogdanovic,21.317,G,rs,,2018,2018,78,27.9,11.8,2.9,3.3,0.9,0.2,0.446,0.485,0.392,0.84,2.9,0.064
181,2015,NBA,1,8,DET,Stanley Johnson,19.031,F,us,University of Arizona,2016,2018,219,22.6,7,3.4,1.5,0.9,0.2,0.37,0.417,0.295,0.76,2.8,0.027
182,2015,NBA,2,41,BRK,Pat Connaughton,22.175,G,us,University of Notre Dame,2016,2018,155,12.6,3.7,1.6,0.8,0.2,0.2,0.421,0.482,0.364,0.845,2.8,0.07
183,2012,NBA,1,23,ATL,John Jenkins,21.12,G,us,Vanderbilt University,2013,2017,145,12.8,5.1,1.5,0.8,0.2,0.1,0.448,0.513,0.364,0.849,2.7,0.071
184,2014,NBA,1,8,SAC,Nik Stauskas,20.267,G,ca,University of Michigan,2015,2018,267,21.1,7,2.1,1.6,0.4,0.3,0.386,0.435,0.349,0.801,2.7,0.023
185,2015,NBA,1,25,MEM,Jarell Martin,21.037,F,us,Louisiana State University,2016,2018,142,18.3,6.2,4,0.7,0.5,0.5,0.436,0.455,0.344,0.763,2.7,0.051
186,2015,NBA,1,5,ORL,Mario Hezonja,20.125,F-G,hr,,2016,2018,219,18.4,6.9,2.8,1.3,0.7,0.3,0.418,0.487,0.332,0.837,2.5,0.029
187,2011,NBA,1,10,MIL,Jimmer Fredette,22.123,G,us,Brigham Young University,2012,2016,235,13.4,6,1,1.4,0.4,0,0.412,0.432,0.381,0.876,2.4,0.037
188,2012,NBA,2,60,LAL,Robert Sacre,23.028,C,us,Gonzaga University,2013,2016,189,14.5,4.2,3.1,0.7,0.3,0.6,0.436,0.437,0,0.671,2.4,0.042
189,2011,NBA,1,18,WAS,Chris Singleton,21.219,F,us,Florida State University,2012,2014,148,17.6,4.1,3.2,0.6,0.8,0.4,0.376,0.4,0.319,0.633,2.3,0.042
190,2011,NBA,2,45,NOH,Josh Harrellson,22.136,C,us,University of Kentucky,2012,2014,75,11.8,3.5,3,0.3,0.4,0.5,0.438,0.497,0.347,0.629,2.1,0.116
191,2013,NBA,2,36,SAC,Ray McCallum,22.021,G,us,University of Detroit Mercy,2014,2016,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.035
192,2012,NBA,2,33,CLE,Bernard James,27.148,C,us,Florida State University,2013,2015,92,8.3,2.2,2.3,0.1,0.2,0.7,0.497,0.507,0,0.68,1.9,0.117
193,2012,NBA,2,58,MIN,Robbie Hummel,23.118,F,us,Purdue University,2014,2015,98,14.3,3.9,2.7,0.5,0.3,0.1,0.418,0.469,0.343,0.867,1.9,0.066
194,2015,NBA,1,14,OKC,Cameron Payne,20.326,G,us,Murray State University,2016,2018,113,15.4,5.9,1.8,2.4,0.7,0.2,0.386,0.42,0.34,0.75,1.8,0.049
195,2010,NBA,2,44,MIL,Jerome Jordan,23.274,C,jm,University of Tulsa,2012,2015,65,7.6,2.8,2,0.3,0.1,0.3,0.528,0.528,,0.852,1.7,0.168
196,2012,NBA,1,27,MIA,Arnett Moultrie,21.228,F,us,Mississippi State University,2013,2014,59,12.4,3.6,3.1,0.2,0.4,0.2,0.547,0.547,,0.667,1.7,0.113
197,2012,NBA,1,28,OKC,Perry Jones,20.283,F,us,Baylor University,2013,2015,143,11.7,3.4,1.8,0.4,0.3,0.2,0.42,0.466,0.293,0.66,1.7,0.048
198,2014,NBA,1,5,UTA,Dante Exum,18.353,G,au,,2015,2018,162,20.2,5.7,1.8,2.2,0.4,0.2,0.395,0.483,0.306,0.757,1.7,0.025
199,2015,NBA,1,2,LAL,D'Angelo Russell,19.127,G,us,Ohio State University,2016,2018,191,27.8,14.6,3.6,4.3,1.1,0.2,0.409,0.455,0.344,0.754,1.7,0.015
200,2011,NBA,2,53,ORL,DeAndre Liggins,23.089,G,us,University of Kentucky,2012,2018,177,10.8,2,1.4,0.7,0.6,0.2,0.402,0.432,0.352,0.549,1.6,0.04
201,2012,NBA,2,36,SAC,Orlando Johnson,23.115,G,us,"University of California, Santa Barbara",2013,2016,103,10.8,3.2,1.7,0.7,0.2,0.1,0.358,0.398,0.311,0.727,1.4,0.059
202,2012,NBA,2,53,LAC,Furkan Aldemir,20.329,F-C,tr,,2015,2015,41,13.2,2.3,4.3,0.7,0.4,0.4,0.513,0.548,0,0.481,1.4,0.122
203,2011,NBA,2,36,NJN,Jordan Williams,20.26,F,us,University of Maryland,2012,2012,43,14.8,4.6,3.6,0.3,0.5,0.3,0.507,0.507,,0.652,1.3,0.101
204,2012,NBA,2,31,CHA,Jeff Taylor,23.042,F,se,Vanderbilt University,2013,2015,132,19.4,6.1,2,0.8,0.5,0.2,0.409,0.458,0.319,0.665,1.3,0.024
205,2014,NBA,1,18,PHO,Tyler Ennis,19.311,G,ca,Syracuse University,2015,2018,186,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.026
206,2014,NBA,1,21,OKC,Mitch McGary,22.025,F-C,us,University of Michigan,2015,2016,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.108
207,2014,NBA,2,32,PHI,K.J. McDaniels,21.142,G-F,us,Clemson University,2015,2017,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.03
